towers,deployment_weeks,diesel_litres_avoided,co2_saved_kg,annual_co2_rate_kg_per_year,diesel_cost_avoided_gbp,solar_tower_cost_gbp,net_cost_saving_vs_diesel_gbp,diesel_l_per_week_assumption,co2_per_litre_kg_defra_2024,diesel_price_per_l_gbp,tower_weekly_rental_gbp,attribution
1,1,84.0,225.1,11705.2,130.2,300.0,-169.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
1,2,168.0,450.2,11705.2,260.4,600.0,-339.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
1,4,336.0,900.5,11706.5,520.8,1200.0,-679.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
1,8,672.0,1801.0,11706.5,1041.6,2400.0,-1358.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
1,12,1008.0,2701.4,11706.1,1562.4,3600.0,-2037.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
1,26,2184.0,5853.1,11706.2,3385.2,7800.0,-4414.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
1,52,4368.0,11706.2,11706.2,6770.4,15600.0,-8829.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
2,1,168.0,450.2,23410.4,260.4,600.0,-339.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
2,2,336.0,900.5,23413.0,520.8,1200.0,-679.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
2,4,672.0,1801.0,23413.0,1041.6,2400.0,-1358.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
2,8,1344.0,3601.9,23412.4,2083.2,4800.0,-2716.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
2,12,2016.0,5402.9,23412.6,3124.8,7200.0,-4075.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
2,26,4368.0,11706.2,23412.4,6770.4,15600.0,-8829.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
2,52,8736.0,23412.5,23412.5,13540.8,31200.0,-17659.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
3,1,252.0,675.4,35120.8,390.6,900.0,-509.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
3,2,504.0,1350.7,35118.2,781.2,1800.0,-1018.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
3,4,1008.0,2701.4,35118.2,1562.4,3600.0,-2037.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
3,8,2016.0,5402.9,35118.8,3124.8,7200.0,-4075.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
3,12,3024.0,8104.3,35118.6,4687.2,10800.0,-6112.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
3,26,6552.0,17559.4,35118.8,10155.6,23400.0,-13244.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
3,52,13104.0,35118.7,35118.7,20311.2,46800.0,-26488.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
4,1,336.0,900.5,46826.0,520.8,1200.0,-679.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
4,2,672.0,1801.0,46826.0,1041.6,2400.0,-1358.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
4,4,1344.0,3601.9,46824.7,2083.2,4800.0,-2716.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
4,8,2688.0,7203.8,46824.7,4166.4,9600.0,-5433.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
4,12,4032.0,10805.8,46825.1,6249.6,14400.0,-8150.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
4,26,8736.0,23412.5,46825.0,13540.8,31200.0,-17659.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
4,52,17472.0,46825.0,46825.0,27081.6,62400.0,-35318.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
5,1,420.0,1125.6,58531.2,651.0,1500.0,-849.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
5,2,840.0,2251.2,58531.2,1302.0,3000.0,-1698.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
5,4,1680.0,4502.4,58531.2,2604.0,6000.0,-3396.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
5,8,3360.0,9004.8,58531.2,5208.0,12000.0,-6792.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
5,12,5040.0,13507.2,58531.2,7812.0,18000.0,-10188.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
5,26,10920.0,29265.6,58531.2,16926.0,39000.0,-22074.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
5,52,21840.0,58531.2,58531.2,33852.0,78000.0,-44148.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,1,504.0,1350.7,70236.4,781.2,1800.0,-1018.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,2,1008.0,2701.4,70236.4,1562.4,3600.0,-2037.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,4,2016.0,5402.9,70237.7,3124.8,7200.0,-4075.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,8,4032.0,10805.8,70237.7,6249.6,14400.0,-8150.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,12,6048.0,16208.6,70237.3,9374.4,21600.0,-12225.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,26,13104.0,35118.7,70237.4,20311.2,46800.0,-26488.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
6,52,26208.0,70237.4,70237.4,40622.4,93600.0,-52977.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,1,672.0,1801.0,93652.0,1041.6,2400.0,-1358.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,2,1344.0,3601.9,93649.4,2083.2,4800.0,-2716.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,4,2688.0,7203.8,93649.4,4166.4,9600.0,-5433.6,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,8,5376.0,14407.7,93650.1,8332.8,19200.0,-10867.2,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,12,8064.0,21611.5,93649.8,12499.2,28800.0,-16300.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,26,17472.0,46825.0,93650.0,27081.6,62400.0,-35318.4,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
8,52,34944.0,93649.9,93649.9,54163.2,124800.0,-70636.8,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,1,840.0,2251.2,117062.4,1302.0,3000.0,-1698.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,2,1680.0,4502.4,117062.4,2604.0,6000.0,-3396.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,4,3360.0,9004.8,117062.4,5208.0,12000.0,-6792.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,8,6720.0,18009.6,117062.4,10416.0,24000.0,-13584.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,12,10080.0,27014.4,117062.4,15624.0,36000.0,-20376.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,26,21840.0,58531.2,117062.4,33852.0,78000.0,-44148.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
10,52,43680.0,117062.4,117062.4,67704.0,156000.0,-88296.0,84.0,2.68,1.55,300.0,Fyrfly Systems Ltd — www.fyrflysystems.com
